Language	Accuracy	Source
ner	1	accuracy = # dataset in seacrowd
nev	2	accuracy = # dataset in seacrowd
nfa	3	accuracy = # dataset in seacrowd
ngt	1	accuracy = # dataset in seacrowd
nia	8	accuracy = # dataset in seacrowd
nij	7	accuracy = # dataset in seacrowd
nil	1	accuracy = # dataset in seacrowd
nir	1	accuracy = # dataset in seacrowd
nkj	1	accuracy = # dataset in seacrowd
nks	1	accuracy = # dataset in seacrowd
nlc	4	accuracy = # dataset in seacrowd
nod	7	accuracy = # dataset in seacrowd
nod	7	accuracy = # dataset in seacrowd
npy	2	accuracy = # dataset in seacrowd
nqm	1	accuracy = # dataset in seacrowd
nrm	3	accuracy = # dataset in seacrowd
nst	2	accuracy = # dataset in seacrowd
nsy	1	accuracy = # dataset in seacrowd
ntx	1	accuracy = # dataset in seacrowd
nuf	1	accuracy = # dataset in seacrowd
nul	1	accuracy = # dataset in seacrowd
nun	1	accuracy = # dataset in seacrowd
nut	3	accuracy = # dataset in seacrowd
nxa	4	accuracy = # dataset in seacrowd
nxe	1	accuracy = # dataset in seacrowd
nxg	1	accuracy = # dataset in seacrowd
nxl	3	accuracy = # dataset in seacrowd
nxr	1	accuracy = # dataset in seacrowd
nxx	1	accuracy = # dataset in seacrowd
nyl	1	accuracy = # dataset in seacrowd
obk	1	accuracy = # dataset in seacrowd
obo	5	accuracy = # dataset in seacrowd
oia	1	accuracy = # dataset in seacrowd
oni	1	accuracy = # dataset in seacrowd
oog	1	accuracy = # dataset in seacrowd
opk	1	accuracy = # dataset in seacrowd
orz	1	accuracy = # dataset in seacrowd
otd	1	accuracy = # dataset in seacrowd
oyb	1	accuracy = # dataset in seacrowd
pac	1	accuracy = # dataset in seacrowd
pac	1	accuracy = # dataset in seacrowd
pag	17	accuracy = # dataset in seacrowd
pam	13	accuracy = # dataset in seacrowd
pas	1	accuracy = # dataset in seacrowd
pcb	3	accuracy = # dataset in seacrowd
pcc	1	accuracy = # dataset in seacrowd
pce	4	accuracy = # dataset in seacrowd
pdo	1	accuracy = # dataset in seacrowd
pdu	2	accuracy = # dataset in seacrowd
pea	2	accuracy = # dataset in seacrowd
pee	1	accuracy = # dataset in seacrowd
pgu	1	accuracy = # dataset in seacrowd
pha	1	accuracy = # dataset in seacrowd
phg	1	accuracy = # dataset in seacrowd
pho	1	accuracy = # dataset in seacrowd
phq	1	accuracy = # dataset in seacrowd
pkt	2	accuracy = # dataset in seacrowd
pkt	2	accuracy = # dataset in seacrowd
pku	1	accuracy = # dataset in seacrowd
plc	1	accuracy = # dataset in seacrowd
ple	1	accuracy = # dataset in seacrowd
plh	1	accuracy = # dataset in seacrowd
pll	1	accuracy = # dataset in seacrowd
plv	1	accuracy = # dataset in seacrowd
plw	4	accuracy = # dataset in seacrowd
pmf	5	accuracy = # dataset in seacrowd
pmo	1	accuracy = # dataset in seacrowd
pna	1	accuracy = # dataset in seacrowd
pne	2	accuracy = # dataset in seacrowd
pnp	1	accuracy = # dataset in seacrowd
pnx	2	accuracy = # dataset in seacrowd
ppk	3	accuracy = # dataset in seacrowd
ppm	1	accuracy = # dataset in seacrowd
prf	4	accuracy = # dataset in seacrowd
prh	1	accuracy = # dataset in seacrowd
prk	3	accuracy = # dataset in seacrowd
prt	2	accuracy = # dataset in seacrowd
prt	2	accuracy = # dataset in seacrowd
pru	1	accuracy = # dataset in seacrowd
psa	1	accuracy = # dataset in seacrowd
pse	3	accuracy = # dataset in seacrowd
psn	1	accuracy = # dataset in seacrowd
psp	2	accuracy = # dataset in seacrowd
ptn	1	accuracy = # dataset in seacrowd
ptt	1	accuracy = # dataset in seacrowd
ptu	5	accuracy = # dataset in seacrowd
puo	1	accuracy = # dataset in seacrowd
pwm	1	accuracy = # dataset in seacrowd
pwm	1	accuracy = # dataset in seacrowd
pwo	1	accuracy = # dataset in seacrowd
pww	2	accuracy = # dataset in seacrowd
rac	1	accuracy = # dataset in seacrowd
rad	1	accuracy = # dataset in seacrowd
ran	1	accuracy = # dataset in seacrowd
raw	1	accuracy = # dataset in seacrowd
raz	1	accuracy = # dataset in seacrowd
rbb	2	accuracy = # dataset in seacrowd
rbl	1	accuracy = # dataset in seacrowd
ree	1	accuracy = # dataset in seacrowd
rej	8	accuracy = # dataset in seacrowd
ren	1	accuracy = # dataset in seacrowd
ret	1	accuracy = # dataset in seacrowd
rgs	1	accuracy = # dataset in seacrowd
rgu	1	accuracy = # dataset in seacrowd
ril	1	accuracy = # dataset in seacrowd
rka	1	accuracy = # dataset in seacrowd
rki	1	accuracy = # dataset in seacrowd
rmh	1	accuracy = # dataset in seacrowd
rmm	1	accuracy = # dataset in seacrowd
rnn	1	accuracy = # dataset in seacrowd
rob	1	accuracy = # dataset in seacrowd
rog	1	accuracy = # dataset in seacrowd
rol	1	accuracy = # dataset in seacrowd
ror	1	accuracy = # dataset in seacrowd
row	1	accuracy = # dataset in seacrowd
rth	1	accuracy = # dataset in seacrowd
saj	1	accuracy = # dataset in seacrowd
sao	1	accuracy = # dataset in seacrowd
sas	3	accuracy = # dataset in seacrowd
saw	1	accuracy = # dataset in seacrowd
sbg	1	accuracy = # dataset in seacrowd
sbl	3	accuracy = # dataset in seacrowd
sbo	1	accuracy = # dataset in seacrowd
sbt	1	accuracy = # dataset in seacrowd
scb	1	accuracy = # dataset in seacrowd
scb	1	accuracy = # dataset in seacrowd
scq	1	accuracy = # dataset in seacrowd
sda	3	accuracy = # dataset in seacrowd
sdo	1	accuracy = # dataset in seacrowd
sdo	1	accuracy = # dataset in seacrowd
sdu	1	accuracy = # dataset in seacrowd
sea	3	accuracy = # dataset in seacrowd
sed	1	accuracy = # dataset in seacrowd
set	1	accuracy = # dataset in seacrowd
seu	1	accuracy = # dataset in seacrowd
sgb	4	accuracy = # dataset in seacrowd
sgd	3	accuracy = # dataset in seacrowd
sge	1	accuracy = # dataset in seacrowd
sgu	1	accuracy = # dataset in seacrowd
shn	13	accuracy = # dataset in seacrowd
shn	13	accuracy = # dataset in seacrowd
sib	1	accuracy = # dataset in seacrowd
sjm	1	accuracy = # dataset in seacrowd
skb	1	accuracy = # dataset in seacrowd
skb	1	accuracy = # dataset in seacrowd
skh	1	accuracy = # dataset in seacrowd
ski	1	accuracy = # dataset in seacrowd
sko	1	accuracy = # dataset in seacrowd
skp	1	accuracy = # dataset in seacrowd
skv	1	accuracy = # dataset in seacrowd
skz	1	accuracy = # dataset in seacrowd
slg	1	accuracy = # dataset in seacrowd
slg	1	accuracy = # dataset in seacrowd
slm	1	accuracy = # dataset in seacrowd
slp	1	accuracy = # dataset in seacrowd
slu	1	accuracy = # dataset in seacrowd
sly	1	accuracy = # dataset in seacrowd
slz	1	accuracy = # dataset in seacrowd
smk	4	accuracy = # dataset in seacrowd
sml	5	accuracy = # dataset in seacrowd
smr	1	accuracy = # dataset in seacrowd
smu	1	accuracy = # dataset in seacrowd
smw	1	accuracy = # dataset in seacrowd
sne	1	accuracy = # dataset in seacrowd
sne	1	accuracy = # dataset in seacrowd
snl	3	accuracy = # dataset in seacrowd
snu	1	accuracy = # dataset in seacrowd
snv	1	accuracy = # dataset in seacrowd
snv	1	accuracy = # dataset in seacrowd
sob	1	accuracy = # dataset in seacrowd
sou	2	accuracy = # dataset in seacrowd
sow	1	accuracy = # dataset in seacrowd
spb	1	accuracy = # dataset in seacrowd
spi	1	accuracy = # dataset in seacrowd
spr	1	accuracy = # dataset in seacrowd
spu	1	accuracy = # dataset in seacrowd
sqq	1	accuracy = # dataset in seacrowd
sre	1	accuracy = # dataset in seacrowd
srl	1	accuracy = # dataset in seacrowd
srv	1	accuracy = # dataset in seacrowd
srw	1	accuracy = # dataset in seacrowd
ssb	1	accuracy = # dataset in seacrowd
sse	1	accuracy = # dataset in seacrowd
ssm	1	accuracy = # dataset in seacrowd
ssq	2	accuracy = # dataset in seacrowd
sti	1	accuracy = # dataset in seacrowd
sti	1	accuracy = # dataset in seacrowd
suc	2	accuracy = # dataset in seacrowd
sun	54	accuracy = # dataset in seacrowd
sve	1	accuracy = # dataset in seacrowd
swr	1	accuracy = # dataset in seacrowd
swt	1	accuracy = # dataset in seacrowd
sxm	4	accuracy = # dataset in seacrowd
sxn	4	accuracy = # dataset in seacrowd
sya	1	accuracy = # dataset in seacrowd
syb	2	accuracy = # dataset in seacrowd
syo	1	accuracy = # dataset in seacrowd
sza	1	accuracy = # dataset in seacrowd
szb	2	accuracy = # dataset in seacrowd
szc	1	accuracy = # dataset in seacrowd
szp	1	accuracy = # dataset in seacrowd
szw	1	accuracy = # dataset in seacrowd
tad	1	accuracy = # dataset in seacrowd
tas	1	accuracy = # dataset in seacrowd
tbk	3	accuracy = # dataset in seacrowd
tbl	4	accuracy = # dataset in seacrowd
tbp	1	accuracy = # dataset in seacrowd
tbw	1	accuracy = # dataset in seacrowd
tby	3	accuracy = # dataset in seacrowd
tcg	1	accuracy = # dataset in seacrowd
tcm	1	accuracy = # dataset in seacrowd
tcq	1	accuracy = # dataset in seacrowd
tcz	2	accuracy = # dataset in seacrowd
tdd	2	accuracy = # dataset in seacrowd
tdf	1	accuracy = # dataset in seacrowd
tdi	1	accuracy = # dataset in seacrowd
tdj	2	accuracy = # dataset in seacrowd
tdn	1	accuracy = # dataset in seacrowd
tdr	1	accuracy = # dataset in seacrowd
tds	1	accuracy = # dataset in seacrowd
tdt	8	accuracy = # dataset in seacrowd
tea	1	accuracy = # dataset in seacrowd
tes	1	accuracy = # dataset in seacrowd
tet	14	accuracy = # dataset in seacrowd
tet	14	accuracy = # dataset in seacrowd
tfo	1	accuracy = # dataset in seacrowd
tft	1	accuracy = # dataset in seacrowd
tgb	1	accuracy = # dataset in seacrowd
tgn	1	accuracy = # dataset in seacrowd
tgq	1	accuracy = # dataset in seacrowd
tgt	1	accuracy = # dataset in seacrowd
tha	114	accuracy = # dataset in seacrowd
thm	3	accuracy = # dataset in seacrowd
tih	3	accuracy = # dataset in seacrowd
tiy	3	accuracy = # dataset in seacrowd
tjg	1	accuracy = # dataset in seacrowd
tkd	3	accuracy = # dataset in seacrowd
tkx	1	accuracy = # dataset in seacrowd
tlb	3	accuracy = # dataset in seacrowd
tld	1	accuracy = # dataset in seacrowd
tlg	1	accuracy = # dataset in seacrowd
tlk	1	accuracy = # dataset in seacrowd
tlt	1	accuracy = # dataset in seacrowd
tlu	1	accuracy = # dataset in seacrowd
tlv	1	accuracy = # dataset in seacrowd
tmg	1	accuracy = # dataset in seacrowd
tmj	1	accuracy = # dataset in seacrowd
tml	1	accuracy = # dataset in seacrowd
tmm	1	accuracy = # dataset in seacrowd
tmn	1	accuracy = # dataset in seacrowd
tmo	1	accuracy = # dataset in seacrowd
tmu	2	accuracy = # dataset in seacrowd
tmw	1	accuracy = # dataset in seacrowd
tni	1	accuracy = # dataset in seacrowd
tnm	1	accuracy = # dataset in seacrowd
tnt	2	accuracy = # dataset in seacrowd
tnu	1	accuracy = # dataset in seacrowd
tnw	1	accuracy = # dataset in seacrowd
tnz	1	accuracy = # dataset in seacrowd
tnz	1	accuracy = # dataset in seacrowd
tom	2	accuracy = # dataset in seacrowd
toy	1	accuracy = # dataset in seacrowd
tpf	1	accuracy = # dataset in seacrowd
tpg	1	accuracy = # dataset in seacrowd
tpo	1	accuracy = # dataset in seacrowd
tpo	1	accuracy = # dataset in seacrowd
tpu	5	accuracy = # dataset in seacrowd
tre	1	accuracy = # dataset in seacrowd
trt	1	accuracy = # dataset in seacrowd
tsg	1	accuracy = # dataset in seacrowd
ttd	1	accuracy = # dataset in seacrowd
tti	1	accuracy = # dataset in seacrowd
ttn	1	accuracy = # dataset in seacrowd
tts	1	accuracy = # dataset in seacrowd
tty	1	accuracy = # dataset in seacrowd
tve	1	accuracy = # dataset in seacrowd
tvm	1	accuracy = # dataset in seacrowd
tvo	1	accuracy = # dataset in seacrowd
tvw	1	accuracy = # dataset in seacrowd
twb	1	accuracy = # dataset in seacrowd
twe	1	accuracy = # dataset in seacrowd
twg	1	accuracy = # dataset in seacrowd
twh	2	accuracy = # dataset in seacrowd
twh	2	accuracy = # dataset in seacrowd
twu	3	accuracy = # dataset in seacrowd
twy	1	accuracy = # dataset in seacrowd
txa	1	accuracy = # dataset in seacrowd
txe	1	accuracy = # dataset in seacrowd
txm	1	accuracy = # dataset in seacrowd
txn	1	accuracy = # dataset in seacrowd
txq	1	accuracy = # dataset in seacrowd
txs	1	accuracy = # dataset in seacrowd
txt	1	accuracy = # dataset in seacrowd
txx	1	accuracy = # dataset in seacrowd
tyh	1	accuracy = # dataset in seacrowd
tyh	1	accuracy = # dataset in seacrowd
tyn	1	accuracy = # dataset in seacrowd
tyr	2	accuracy = # dataset in seacrowd
tyr	2	accuracy = # dataset in seacrowd
tyz	1	accuracy = # dataset in seacrowd
tzn	1	accuracy = # dataset in seacrowd
ubl	1	accuracy = # dataset in seacrowd
udj	1	accuracy = # dataset in seacrowd
ugo	1	accuracy = # dataset in seacrowd
uhn	1	accuracy = # dataset in seacrowd
uka	1	accuracy = # dataset in seacrowd
ulf	1	accuracy = # dataset in seacrowd
ulm	1	accuracy = # dataset in seacrowd
ums	1	accuracy = # dataset in seacrowd
urk	2	accuracy = # dataset in seacrowd
urn	1	accuracy = # dataset in seacrowd
ury	3	accuracy = # dataset in seacrowd
vbb	1	accuracy = # dataset in seacrowd
vie	137	accuracy = # dataset in seacrowd
vkl	1	accuracy = # dataset in seacrowd
vko	1	accuracy = # dataset in seacrowd
vme	1	accuracy = # dataset in seacrowd
vto	1	accuracy = # dataset in seacrowd
wad	1	accuracy = # dataset in seacrowd
wah	1	accuracy = # dataset in seacrowd
wai	1	accuracy = # dataset in seacrowd
war	21	accuracy = # dataset in seacrowd
wbb	1	accuracy = # dataset in seacrowd
wbe	1	accuracy = # dataset in seacrowd
wbw	1	accuracy = # dataset in seacrowd
wet	1	accuracy = # dataset in seacrowd
wew	1	accuracy = # dataset in seacrowd
wfg	1	accuracy = # dataset in seacrowd
wgo	1	accuracy = # dataset in seacrowd
whk	1	accuracy = # dataset in seacrowd
wlo	1	accuracy = # dataset in seacrowd
wlw	1	accuracy = # dataset in seacrowd
wmh	1	accuracy = # dataset in seacrowd
wmm	1	accuracy = # dataset in seacrowd
wms	3	accuracy = # dataset in seacrowd
wng	1	accuracy = # dataset in seacrowd
wnk	2	accuracy = # dataset in seacrowd
wno	1	accuracy = # dataset in seacrowd
wod	1	accuracy = # dataset in seacrowd
woi	1	accuracy = # dataset in seacrowd
woo	1	accuracy = # dataset in seacrowd
wor	1	accuracy = # dataset in seacrowd
wow	1	accuracy = # dataset in seacrowd
wrp	1	accuracy = # dataset in seacrowd
wrs	5	accuracy = # dataset in seacrowd
wru	1	accuracy = # dataset in seacrowd
wsa	1	accuracy = # dataset in seacrowd
wtw	1	accuracy = # dataset in seacrowd
wul	1	accuracy = # dataset in seacrowd
wuy	1	accuracy = # dataset in seacrowd
xau	1	accuracy = # dataset in seacrowd
xbn	1	accuracy = # dataset in seacrowd
xbr	2	accuracy = # dataset in seacrowd
xdy	2	accuracy = # dataset in seacrowd
xkl	1	accuracy = # dataset in seacrowd
xkl	1	accuracy = # dataset in seacrowd
xkq	1	accuracy = # dataset in seacrowd
xks	1	accuracy = # dataset in seacrowd
xkw	1	accuracy = # dataset in seacrowd
xml	1	accuracy = # dataset in seacrowd
xmm	4	accuracy = # dataset in seacrowd
xmt	1	accuracy = # dataset in seacrowd
xmz	1	accuracy = # dataset in seacrowd
xnn	3	accuracy = # dataset in seacrowd
xod	1	accuracy = # dataset in seacrowd
xsb	3	accuracy = # dataset in seacrowd
xse	1	accuracy = # dataset in seacrowd
xte	1	accuracy = # dataset in seacrowd
xwr	1	accuracy = # dataset in seacrowd
xxk	1	accuracy = # dataset in seacrowd
xxt	1	accuracy = # dataset in seacrowd
yac	1	accuracy = # dataset in seacrowd
yet	3	accuracy = # dataset in seacrowd
yin	2	accuracy = # dataset in seacrowd
yir	1	accuracy = # dataset in seacrowd
yka	2	accuracy = # dataset in seacrowd
yki	1	accuracy = # dataset in seacrowd
yli	2	accuracy = # dataset in seacrowd
yno	1	accuracy = # dataset in seacrowd
yog	1	accuracy = # dataset in seacrowd
yoy	1	accuracy = # dataset in seacrowd
yoy	1	accuracy = # dataset in seacrowd
ysm	1	accuracy = # dataset in seacrowd
yva	4	accuracy = # dataset in seacrowd
zbc	1	accuracy = # dataset in seacrowd
zbe	1	accuracy = # dataset in seacrowd
zbw	1	accuracy = # dataset in seacrowd
zka	1	accuracy = # dataset in seacrowd
zlm	66	accuracy = # dataset in seacrowd
zng	3	accuracy = # dataset in seacrowd
zom	1	accuracy = # dataset in seacrowd
zrs	1	accuracy = # dataset in seacrowd
zyp	5	accuracy = # dataset in seacrowd
